protein,chain,source_file,segment_id,segment_label,segment_start_seq_index,segment_end_seq_index,segment_length,segment_start_res_i,segment_end_res_j,fft_bin,frequency_cycles_per_residue,period_residues,amplitude,power,power_fraction_nonzero
2HHB,A,2HHB_fft_data.csv,seg000,2HHB_A_seg000,0,138,139,1,140,0,0.0,,1.4068746168049984e-12,1.4239540916620223e-26,
2HHB,A,2HHB_fft_data.csv,seg000,2HHB_A_seg000,0,138,139,1,140,1,0.007194244604316547,139.0,567.686463099296,2318.47424738265,0.011782580528668929
2HHB,A,2HHB_fft_data.csv,seg000,2HHB_A_seg000,0,138,139,1,140,2,0.014388489208633094,69.5,669.630407687484,3225.934409350403,0.016394330021687695
2HHB,A,2HHB_fft_data.csv,seg000,2HHB_A_seg000,0,138,139,1,140,3,0.02158273381294964,46.33333333333333,1817.4855497586243,23764.41527756409,0.12077172607835993
2HHB,A,2HHB_fft_data.csv,seg000,2HHB_A_seg000,0,138,139,1,140,4,0.02877697841726619,34.75,1096.755837078963,8653.765224221415,0.04397878723289311
2HHB,A,2HHB_fft_data.csv,seg000,2HHB_A_seg000,0,138,139,1,140,5,0.03597122302158273,27.8,263.8466098177974,500.82757922550377,0.0025452261502859324
2HHB,A,2HHB_fft_data.csv,seg000,2HHB_A_seg000,0,138,139,1,140,6,0.04316546762589928,23.166666666666664,1989.3738101883896,28472.00112707533,0.14469586904872347
2HHB,A,2HHB_fft_data.csv,seg000,2HHB_A_seg000,0,138,139,1,140,7,0.05035971223021583,19.857142857142854,810.5215299649775,4726.224104581064,0.024018863341539534
2HHB,A,2HHB_fft_data.csv,seg000,2HHB_A_seg000,0,138,139,1,140,8,0.05755395683453238,17.375,395.72751441522576,1126.6206162967821,0.005725531845678759
2HHB,A,2HHB_fft_data.csv,seg000,2HHB_A_seg000,0,138,139,1,140,9,0.06474820143884892,15.444444444444445,1295.3442158961268,12071.342716946414,0.06134705520760001
2HHB,A,2HHB_fft_data.csv,seg000,2HHB_A_seg000,0,138,139,1,140,10,0.07194244604316546,13.9,953.2279164677176,6537.003314628676,0.03322131701818121
2HHB,A,2HHB_fft_data.csv,seg000,2HHB_A_seg000,0,138,139,1,140,11,0.07913669064748202,12.636363636363635,548.2916245867071,2162.7604718843927,0.010991236781244296
2HHB,A,2HHB_fft_data.csv,seg000,2HHB_A_seg000,0,138,139,1,140,12,0.08633093525179857,11.583333333333332,1121.6511096260342,9051.087854138948,0.04599799701628874
