protein,chain,source_file,segment_id,segment_label,segment_start_seq_index,segment_end_seq_index,segment_length,segment_start_res_i,segment_end_res_j,fft_bin,frequency_cycles_per_residue,period_residues,amplitude,power,power_fraction_nonzero
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,0,0.0,,1.0231815394945443e-12,5.816113682013476e-27,
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,1,0.005555555555555556,180.0,1177.4620950390515,7702.316584743069,0.008532929281598264
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,2,0.011111111111111112,90.0,2691.175753594141,40235.70520407218,0.04457469688816171
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,3,0.016666666666666666,60.0,4209.860764935392,98460.70922301333,0.10907864660876028
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,4,0.022222222222222223,45.0,1085.5417034370096,6546.671055005137,0.007252659706678178
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,5,0.02777777777777778,36.0,3722.919414145113,77000.71646788107,0.0853044225102759
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,6,0.03333333333333333,30.0,1842.6968000875881,18864.063872516872,0.02089835197200072
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,7,0.03888888888888889,25.714285714285715,1088.3109163055308,6580.114725276579,0.007289709920104691
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,8,0.044444444444444446,22.5,1884.1213399539372,19721.740131499,0.02184851946821827
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,9,0.05,20.0,1975.585976088545,21682.999716209608,0.02402127998189828
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,10,0.05555555555555556,18.0,2190.2981152600146,26652.254631730957,0.029526416041920755
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,11,0.061111111111111116,16.363636363636363,982.9836338041671,5368.0934684824715,0.005946985097224283
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,12,0.06666666666666667,15.0,1299.4963153373983,9381.614853197083,0.010393321958239523
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,13,0.07222222222222223,13.846153846153845,2414.8783810177624,32397.986639483166,0.0358917639672814
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,14,0.07777777777777778,12.857142857142858,447.61566613196726,1113.1099142598043,0.0012331469469638336
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,15,0.08333333333333334,11.999999999999998,1276.817749000826,9057.019800908536,0.010033722791435442
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,16,0.08888888888888889,11.25,1723.8709244877123,16509.616468300665,0.018290002525911356
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,17,0.09444444444444444,10.588235294117647,730.4662969264556,2964.3389496969376,0.00328401129012993
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,18,0.1,10.0,2066.987273825056,23735.75772308187,0.026295406046720364
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,19,0.10555555555555556,9.473684210526315,1465.732355087739,11935.39631528361,0.013222501514401307
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,20,0.11111111111111112,9.0,794.7384498423287,3508.9400203210425,0.0038873417779370866
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,21,0.11666666666666667,8.571428571428571,459.20872368041097,1171.5147328010669,0.0012978501022852266
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,22,0.12222222222222223,8.181818181818182,1672.8204966537467,15546.268966804932,0.017222768270680897
1PKK,A,1PKK_fft_data.csv,seg000,1PKK_A_seg000,0,179,180,1,181,23,0.1277777777777778,7.826086956521738,901.5321659898872,4515.334701746764,0.005002265392345849
